# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.update.unloaded.entities.ms,1785429454720000000,1785429470096000000,0
workspaceModel.on.before.changed.ms,1785429454720000000,1785429470096000000,0
workspaceModel.updates.ms,1785429454720000000,1785429470096000000,0
workspaceModel.pre.handlers.ms,1785429454720000000,1785429470096000000,0
workspaceModel.on.changed.ms,1785429454720000000,1785429470096000000,0
workspaceModel.check.recursive.update.ms,1785429454720000000,1785429470096000000,0
workspaceModel.cachedValue.total.get.count,1785429454720000000,1785429470096000000,2
workspaceModel.updates.precise.ms,1785429454720000000,1785429470096000000,0
workspaceModel.updates.count,1785429454720000000,1785429470096000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1785429454720000000,1785429470096000000,7060
FilePageCache.totalPageDisposalsUs,1785429454720000000,1785429470096000000,6199
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1785429454720000000,1785429470096000000,41959424
DirectByteBufferAllocator.reclaimed,1785429454720000000,1785429470096000000,47
FilePageCache.maxCacheSizeInBytes,1785429454720000000,1785429470096000000,322977792
MappedFileStorage.storages,1785429454720000000,1785429470096000000,2
FilePageCache.WAL.entriesFlushedOnRead,1785429454720000000,1785429470096000000,1
DirectByteBufferAllocator.misses,1785429454720000000,1785429470096000000,310
FilePageCache.WAL.bytesCopiedByApplyUnfinished,1785429454720000000,1785429470096000000,0
FilePageCache.capacityInBytes,1785429454720000000,1785429470096000000,629145600
DirectByteBufferAllocator.hits,1785429454720000000,1785429470096000000,5
FileChannelInterruptsRetryer.totalRetriedAttempts,1785429454720000000,1785429470096000000,0
FilePageCache.totalPageLoadsUs,1785429454720000000,1785429470096000000,263866
FilePageCache.pageLoads,1785429454720000000,1785429470096000000,315
FilePageCache.pageLoadsAboveSizeThreshold,1785429454720000000,1785429470096000000,0
MappedFileStorage.totalBytesMapped,1785429454720000000,1785429470096000000,68157440
StorageLockContext.competingThreads.max,1785429454720000000,1785429470096000000,0
MappedFileStorage.totalPagesMapped,1785429454720000000,1785429470096000000,2
StorageLockContext.competingThreads.90P,1785429454720000000,1785429470096000000,0
DirectByteBufferAllocator.disposed,1785429454720000000,1785429470096000000,268
FilePageCache.totalBytesStored,1785429454720000000,1785429470096000000,67572
FilePageCache.pageHits,1785429454720000000,1785429470096000000,0
FilePageCache.WAL.bytesQueued,1785429454720000000,1785429470096000000,32776
FilePageCache.WAL.flushesForcedByOverflow,1785429454720000000,1785429470096000000,0
FilePageCache.WAL.entriesFlushed,1785429454720000000,1785429470096000000,16
FilePageCache.totalPageStoresUs,1785429454720000000,1785429470096000000,6824
StorageLockContext.competingThreads.avg,1785429454720000000,1785429470096000000,0.0
FilePageCache.WAL.entriesFlushedOnClose,1785429454720000000,1785429470096000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1785429454720000000,1785429470096000000,41959424
FilePageCache.pageFastCacheHits,1785429454720000000,1785429470096000000,6847
FilePageCache.WAL.entriesFlushedOnTruncate,1785429454720000000,1785429470096000000,0
FilePageCache.maxRegisteredFiles,1785429454720000000,1785429470096000000,867
FilePageCache.disposedBuffers,1785429454720000000,1785429470096000000,315
FilePageCache.WAL.entriesFlushedOnForce,1785429454720000000,1785429470096000000,0
FilePageCache.uncachedFileAccess,1785429454720000000,1785429470096000000,399
AWTEventQueue.dispatchTimeAvgNs,1785429454720000000,1785429470096000000,0.0
FlushQueue.waitingTime90PNs,1785429454720000000,1785429470096000000,0
FlushQueue.executionTimeMaxNs,1785429454720000000,1785429470096000000,0
AWTEventQueue.dispatchTimeTotalNS,1785429454720000000,1785429470096000000,2448916382
FlushQueue.executionTimeAvgNs,1785429454720000000,1785429470096000000,0.0
FlushQueue.queueSizeMax,1785429454720000000,1785429470096000000,0
ReadAction.executionsCount,1785429454720000000,1785429470096000000,103
FlushQueue.queueSize90P,1785429454720000000,1785429470096000000,0
FlushQueue.queueSizeAvg,1785429454720000000,1785429470096000000,0.0
FlushQueue.executionTime90PNs,1785429454720000000,1785429470096000000,0
FlushQueue.tasksExecuted,1785429454720000000,1785429470096000000,0
AWTEventQueue.eventsDispatched,1785429454720000000,1785429470096000000,0
FlushQueue.waitingTimeAvgNs,1785429454720000000,1785429470096000000,0.0
FlushQueue.waitingTimeMaxNs,1785429454720000000,1785429470096000000,0
AWTEventQueue.dispatchTime90PNs,1785429454720000000,1785429470096000000,0
WriteAction.executionsCount,1785429454720000000,1785429470096000000,1
AWTEventQueue.dispatchTimeMaxNs,1785429454720000000,1785429470096000000,0
VFS.rootsCount,1785429454720000000,1785429470096000000,0.0
VFS.invertedFileNameIndex.requests,1785429454720000000,1785429470096000000,0
VFS.fileByIdCache.hits,1785429454720000000,1785429470096000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1785429454720000000,1785429470096000000,0
VFS.ContentWriter.totalFlushes,1785429454720000000,1785429470096000000,0
VFS.ContentWriter.totalTasksExecutedAsync,1785429454720000000,1785429470096000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1785429454720000000,1785429470096000000,0
VFS.fileChildByName,1785429454720000000,1785429470096000000,20
VFS.ContentWriter.totalTasksExecutedSync,1785429454720000000,1785429470096000000,0
VFS.folderCaseSensitivityReads,1785429454720000000,1785429470096000000,8
VFS.fileByIdCache.misses,1785429454720000000,1785429470096000000,0
Indexing.cache.totalCacheAccesses,1785429454720000000,1785429470096000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1785429454720000000,1785429470096000000,0
Indexing.totalTimeIndexersSleptMs,1785429454720000000,1785429470096000000,0
Indexing.writesQueuedMax,1785429454720000000,1785429470096000000,0
Indexing.writesQueuedMin,1785429454720000000,1785429470096000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1785429454720000000,1785429470096000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1785429454720000000,1785429470096000000,0
Indexing.cache.totalCacheEvicted,1785429454720000000,1785429470096000000,0
Indexing.cache.totalCacheMisses,1785429454720000000,1785429470096000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1785429454720000000,1785429470096000000,0
