# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.add.entity.ms,1785429225201000000,1785429245630000000,0
workspaceModel.load.cache.from.file.ms,1785429225201000000,1785429245630000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1785429225201000000,1785429245630000000,0
jps.global.handle.changed.events.ms,1785429225201000000,1785429245630000000,0
jps.global.initialize.library.bridges.ms,1785429225201000000,1785429245630000000,0
jps.library.entities.serializer.load.entities.ms,1785429225201000000,1785429245630000000,0
workspaceModel.global.updates.count,1785429225201000000,1785429245630000000,0
jps.global.get.libraries.ms,1785429225201000000,1785429245630000000,25
workspaceModel.mutableEntityStorage.remove.entity.ms,1785429225201000000,1785429245630000000,0
jps.global.get.library.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.entities.ms,1785429225201000000,1785429245630000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1785429225201000000,1785429245630000000,0
jps.global.handle.before.change.events.ms,1785429225201000000,1785429245630000000,0
workspaceModel.save.cache.to.file.ms,1785429225201000000,1785429245630000000,0
workspaceModel.global.apply.state.to.project.ms,1785429225201000000,1785429245630000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1785429225201000000,1785429245630000000,0
jps.global.initialize.library.bridges.after.loading.ms,1785429225201000000,1785429245630000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1785429225201000000,1785429245630000000,0
workspaceModel.sync.entities.ms,1785429225201000000,1785429245630000000,0
jps.global.get.library.by.name.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1785429225201000000,1785429245630000000,0
jps.load.initial.state.ms,1785429225201000000,1785429245630000000,15
workspaceModel.mutableEntityStorage.hasReferrers.ms,1785429225201000000,1785429245630000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1785429225201000000,1785429245630000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1785429225201000000,1785429245630000000,0
jps.library.entities.serializer.save.entities.ms,1785429225201000000,1785429245630000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1785429225201000000,1785429245630000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1785429225201000000,1785429245630000000,1
cacheStateStorage.get.counter,1785429225201000000,1785429245630000000,10
cacheStateStorage.get.duration,1785429225201000000,1785429245630000000,0
cacheStateStorage.set.counter,1785429225201000000,1785429245630000000,8
cacheStateStorage.set.duration,1785429225201000000,1785429245630000000,21
parser.VTL.time.ns,1785429225201000000,1785429245630000000,2586417
lexer.VTL.time.ns,1785429225201000000,1785429245630000000,544334
writeAction.max.wait.ms,1785429225201000000,1785429245630000000,36
parser.VTL.size.bytes,1785429225201000000,1785429245630000000,134
